Hybrid,Env,Win_YN,moisture,test_weight,root_lodging,stalk_lodging,plant_height,ear_height,silk,pollen,Rain_1,Rain_2,Rain_3,Rain_5,Rain_6,Rain_7,Rain_8,Rain_10,Rain_11,AccPrecip_1,AccPrecip_2,AccPrecip_3,AccPrecip_5,AccPrecip_6,AccPrecip_7,AccPrecip_8,AccPrecip_10,AccPrecip_11,Radn_1,Radn_2,Radn_3,Radn_5,Radn_6,Radn_7,Radn_8,Radn_10,Radn_11,MaxT_1,MaxT_2,MaxT_3,MaxT_5,MaxT_6,MaxT_7,MaxT_8,MaxT_10,MaxT_11,MinT_1,MinT_2,MinT_3,MinT_5,MinT_6,MinT_7,MinT_8,MinT_10,MinT_11,ThermalTime_1,ThermalTime_2,ThermalTime_3,ThermalTime_5,ThermalTime_6,ThermalTime_7,ThermalTime_8,ThermalTime_10,ThermalTime_11,TempStress_1,TempStress_2,TempStress_3,TempStress_5,TempStress_7,TempStress_8,TempStress_10,TempStress_11,latitude,longitude,year,field_location
F42/MO17,IAH2_2017,N,15.4,733.6955833,9,7,232,122,65,64,2.991935476,4.003749907,5.594154361,1.824159742,2.965909053,1.138616173,3.544395797,5.525860929,3.224964342,92.74999976,32.02999926,86.83999968,64.74363607,5.880909015,11.03545466,133.6850016,39.36636487,98.02272796,18.91811151,22.03083944,18.39067038,21.91300981,21.59707026,21.00058551,18.76246256,16.50136756,14.56336975,16.70258062,25.25375009,21.16444029,28.78792803,31.34295403,31.03890899,27.79230679,26.54138994,25.01808603,3.836129038,9.060000002,9.836484062,14.72352594,17.1804546,18.00485339,15.61890002,13.9478747,12.25710857,5.884356407,10.52058178,9.325556586,14.19611432,16.29393371,16.57150033,14.05801276,12.73803514,11.57992501,0.659274195,1,0.882113053,1,1,1,1,0.976890029,42.06582876,-94.72050129,2017,IAH2
B73/MO17,IAH2_2017,Y,16.1,710.5262491,8,5,230,125.5,65,64,2.991935476,4.003749907,5.594154361,1.824159742,2.965909053,1.138616173,3.544395797,5.525860929,3.224964342,92.74999976,32.02999926,86.83999968,64.74363607,5.880909015,11.03545466,133.6850016,39.36636487,98.02272796,18.91811151,22.03083944,18.39067038,21.91300981,21.59707026,21.00058551,18.76246256,16.50136756,14.56336975,16.70258062,25.25375009,21.16444029,28.78792803,31.34295403,31.03890899,27.79230679,26.54138994,25.01808603,3.836129038,9.060000002,9.836484062,14.72352594,17.1804546,18.00485339,15.61890002,13.9478747,12.25710857,5.884356407,10.52058178,9.325556586,14.19611432,16.29393371,16.57150033,14.05801276,12.73803514,11.57992501,0.659274195,1,0.882113053,1,1,1,1,0.976890029,42.06582876,-94.72050129,2017,IAH2
B73/MO17,MOH1_2016,N,17.5,731.1212129,0.5,2,265,132.5,58,57,2.465483877,8.058000231,0.264259377,6.282521268,1.94553035,9.25680559,4.358907121,3.354664451,5.453130527,76.43000019,40.29000115,2.879999995,172.8372758,4.262727369,83.20363667,125.2090916,21.13363606,168.2240918,20.2309363,16.93509369,22.49829557,20.20959989,18.68177986,19.21408964,18.0090922,17.17714413,15.87534947,21.83193548,27.56600037,27.88644765,31.21215235,30.25795442,31.2505745,30.57423065,29.80077912,28.25339236,10.073871,16.74400005,16.26474463,19.86215984,19.98371223,20.49117413,20.76153791,19.91431794,17.56318368,9.497798547,14.24343349,14.21296425,17.47336946,17.12232598,17.8699151,17.65104862,16.90998551,15.09561117,0.937315665,1,1,1,1,1,1,0.999442641,38.8955475,-92.2072025,2016,MOH1
B73/MO17,WIH2_2020,N,25.36,679.8912406,58.4,0.1,274.8,150.2,74.1,72,1.142258063,7.375000167,3.772605813,4.528143625,15.91411821,3.015240613,2.848395651,6.559665308,3.073983535,35.40999997,73.75000167,42.96999988,163.850588,31.01764819,33.16764674,117.7699986,59.84176376,94.45823468,20.73953056,16.04352899,21.23354675,21.58093245,19.01370295,17.88573252,19.32013515,13.57540027,12.27254504,13.56999995,18.91099977,26.0938683,28.2322475,29.46647072,27.75422455,27.09322103,24.80509675,19.00189054,0.762580661,9.396999884,13.99892158,14.99589118,17.7452939,17.49807463,14.22893102,13.29211059,7.459399134,4.176897214,8.107987139,12.68677404,14.02444379,15.66411489,14.70790633,13.20588953,12.26960615,7.833960257,0.443168195,0.881928567,1,1,1,0.990384734,0.880973437,0.780679991,43.294786,-89.383968,2020,WIH2
F42/OH43,DEH1_2020,N,20.4625,681.0818869,0.125,8,256.625,133.125,64,63,3.884838689,2.918749928,0.484801506,3.712682555,3.963928495,10.54878945,3.680508849,4.08975176,5.319973187,120.4299994,23.34999943,5.74999997,113.1935704,6.565714155,94.92928366,102.5935729,23.16642891,164.6128593,19.34389959,17.33862388,21.23126246,20.37262205,20.84469896,18.13380163,16.82964191,15.50064315,15.14081803,17.43483888,21.1624999,25.02143811,29.01024665,32.25440507,31.30417669,31.95048154,29.3682824,28.21514964,6.792903194,12.85250008,15.40184434,18.86790491,21.28607132,21.93053571,22.84339264,21.06525136,19.30786859,6.86665098,10.04482466,12.64072343,16.02028347,18.72161765,18.60397455,19.32804006,17.22313801,15.91003144,0.79362904,0.982098209,1,1,1,1,1,1,38.628981,-75.46566025,2020,DEH1
W10004_0216/PHZ51,WIH1_2016,Y,18.7,808.3523269,0,2,275,142.5,75,75,2.076129018,1.94750002,4.430291291,4.068377178,0.606590927,8.204471101,6.520888551,7.285801826,4.413191112,64.35999957,23.37000024,50.66818307,153.9786358,1.017727305,87.41727302,222.4604529,58.95590957,134.9268184,19.92805462,20.9108026,19.53546339,20.65690042,18.97296773,19.76360502,17.50876714,15.21370917,12.23883056,16.70258062,17.57583312,27.08182728,26.49130857,27.22159082,28.35833875,27.6700069,25.1458901,22.98674642,3.327419363,4.990833327,14.04723809,14.47423798,17.58636334,16.7186736,17.17399145,14.32051147,12.5735533,5.875866612,6.419508974,12.98865398,12.92924289,14.50224274,14.72651534,14.55658067,12.23924581,10.7486024,0.621198161,0.7653869,1,1,1,0.999967803,0.998306277,0.970976554,43.05632525,-89.53194975,2016,WIH1
B73/DK3IIH6,NYH1_2017,N,16.68,731.1212129,2.4,3.6,234.8,112.2,68.2,68,4.758709581,4.139999986,2.953024942,5.715506232,4.320872878,2.701732063,2.616328443,1.022630585,3.614268439,147.519997,37.25999987,45.12618999,219.9223815,11.26857107,35.6957141,128.4247627,13.30476207,110.8900009,18.97444351,17.81005277,22.0763727,19.38397475,18.56141379,19.22534974,16.71382568,13.43506643,9.037548332,17.06967752,20.23333359,22.7745171,25.66488699,26.70396817,25.32691524,23.26007272,23.96840526,17.61119819,5.964193534,10.19,10.93717632,15.20362294,16.36293638,14.60656728,11.31793404,11.56685323,6.669544781,6.641127344,8.727253675,10.15270493,12.79474615,13.71935226,12.37567782,10.45035179,10.9124923,7.239151369,0.685760371,1,1,1,1,0.982493678,0.953634339,0.701363064,42.72880835,-76.6515625,2017,NYH1
W10004_0216/PHZ51,ARH1_2017,Y,17.7,731.1212129,0,2,229,110,65,64,3.058125025,3.532857077,9.871688678,6.405160528,0.516363615,5.988171668,5.119232493,3.102318153,5.34158356,97.86000079,24.72999954,132.0327285,211.6218184,0.569545432,54.36818138,136.8913653,16.08272713,165.5890903,17.13974981,16.55343887,20.38424011,18.76225527,22.81364793,19.06964508,19.53553475,19.77193111,17.12972935,24.60906261,23.96000045,24.77057006,28.06605652,30.35469691,31.5146664,31.30577636,32.78459133,30.91587993,11.9175,14.17857156,11.8445801,17.60850246,18.97249995,21.30615642,21.39979275,22.50533316,21.62237538,11.1639709,11.77578055,11.22655186,14.97537354,16.74359516,18.41041141,18.33049426,19.54768126,18.22457608,1,1,1,1,1,1,1,1,34.7272515,-90.76032575,2017,ARH1
B14A/MO17,IAH1_2017,Y,17.95,705.3775082,2.5,4,211.5,107.5,65,64,3.40562493,4.965384584,4.756276119,1.833606587,3.814090996,2.221484887,3.670808328,1.81325484,2.347473118,108.9799978,64.54999959,71.28272616,63.78727258,4.177727374,22.83863677,118.9068186,13.7622725,72.03681816,16.19865167,17.41178014,18.84198651,22.07722619,19.57094626,20.6423577,19.65334879,19.12382584,16.87809105,17.11343735,15.37846162,22.95951679,28.09807267,26.50742381,30.27960591,29.79948923,26.92834941,26.37674051,5.413125027,4.923076978,11.46549016,14.16962528,11.61757578,16.65775237,16.66504091,13.38757222,12.41510662,6.530778339,5.768563812,10.45370215,13.71965113,11.94783378,15.64262598,15.39964617,12.71239892,12.1737806,0.629988832,0.555054952,0.946458762,1,1,1,1,0.998130952,41.19924609,-91.49402296,2017,IAH1
B37/H95,DEH1_2016,Y,20.8,742.0622874,4,2,261,118.5,79,76.5,2.701875035,7.431818214,3.891344367,3.01543569,5.358105985,2.453055546,7.028031294,2.624318106,3.1968602,86.46000111,81.75000036,66.39499953,101.6163622,13.33454524,24.02227264,188.3231781,15.05272682,98.58045408,18.33047433,10.1000462,19.40971708,21.02938559,18.25055452,17.64652011,18.94468483,17.7865103,16.44449792,18.09,16.60090897,19.90208421,27.67646738,27.79681775,28.9030859,31.91379825,31.21812112,30.57169607,5.529687506,9.93090907,10.11289786,16.8589893,18.02106052,19.78800518,21.90881045,21.62957593,20.16127331,6.825577378,7.645605865,8.606637786,14.43603228,14.98401645,16.37610101,18.85541374,18.37748956,17.3477875,0.726328134,0.729318176,0.990929859,1,1,1,1,1,38.6482025,-75.44606,2016,DEH1
F42/OH43,NCH1_2019,Y,13.5,763.62264,0,0.75,215.6875,100.9375,58.5,56.25,2.191129027,0,0.107342031,4.775073233,0.466011907,4.533660718,6.24100048,2.370892844,2.941295675,67.92499983,0,1.347142833,143.4146411,0.94178571,36.26928575,165.0100003,13.54249993,91.02821354,18.69452832,25.30126673,21.77382428,19.07893176,22.56876209,20.7892765,19.22903807,18.96679552,16.71087377,25.69580629,28.76666609,32.29891346,30.08294473,33.3002377,33.83080339,32.75741781,32.04927549,30.79691829,13.34274195,12.19133326,19.06280588,18.61089734,20.56851188,21.23558053,21.08131414,19.9046464,19.77832645,12.18436683,13.33597385,17.64216348,16.39126772,18.88342746,19.44075481,18.8247811,17.98080212,17.31161093,1,1,1,1,1,1,1,1,35.67010175,-78.510504,2019,NCH1
B14A/MO17,NYH1_2017,Y,21.75,731.1212129,0.5,14.5,236,125,81,79.5,4.758709581,4.139999986,2.953024942,5.715506232,4.320872878,2.701732063,2.616328443,1.022630585,3.614268439,147.519997,37.25999987,45.12618999,219.9223815,11.26857107,35.6957141,128.4247627,13.30476207,110.8900009,18.97444351,17.81005277,22.0763727,19.38397475,18.56141379,19.22534974,16.71382568,13.43506643,9.037548332,17.06967752,20.23333359,22.7745171,25.66488699,26.70396817,25.32691524,23.26007272,23.96840526,17.61119819,5.964193534,10.19,10.93717632,15.20362294,16.36293638,14.60656728,11.31793404,11.56685323,6.669544781,6.641127344,8.727253675,10.15270493,12.79474615,13.71935226,12.37567782,10.45035179,10.9124923,7.239151369,0.685760371,1,1,1,1,0.982493678,0.953634339,0.701363064,42.72880835,-76.6515625,2017,NYH1
W10004_0216/PHZ51,NEH4_2015,N,14.6,795.4804746,0,2,290,140,65,57,2.821875036,0,3.668207424,2.0125769,1.951249957,2.654893884,1.684158262,0.190010425,1.166079967,90.30000114,0,33.89000034,59.04687595,1.951249957,28.04999942,59.1787506,1.401875056,35.09749981,18.84220009,27.31064491,20.41342533,20.52862815,19.03072298,18.81303122,18.33826559,17.15407273,12.68489203,24.01437524,30.79399948,29.66091772,30.90712841,30.81250072,28.65153035,29.50292414,26.73776808,20.93262179,13.35843744,15.59799976,18.4981335,19.26878801,20.26031268,17.34358901,16.24316685,11.04417556,7.09840123,11.80342709,15.44887437,16.14310254,17.09436255,17.53736601,15.18702607,15.25106182,11.88303257,8.618375536,0.931774556,1,1,1,1,0.97284651,0.984144349,0.784438609,41.16732275,-96.41663225,2015,NEH4
LH74/PHN82,ILH1_2019,Y,16.05,780.0342518,0,0,207,94.5,61.5,59.5,3.922903261,5.481666605,1.00366755,4.244691953,0.864761892,1.289377346,1.227411081,2.864647074,2.116070648,121.6100011,32.88999963,10.01785682,147.0385723,1.34571428,11.77428573,45.42428628,20.70571404,64.49999962,18.80145381,19.65322081,22.67392072,19.84274881,20.61125065,20.0231267,19.28032854,15.59344345,14.97056188,19.78774188,27.49499989,27.66771062,28.39175175,31.90428638,30.86753304,28.53869606,27.75133519,26.64299619,8.822580737,16.11666648,15.73801632,17.44140675,20.6435711,19.81749468,16.71837596,16.74759351,14.38373492,8.392897398,14.01107102,13.933587,15.08804109,18.28423173,17.40393302,14.78980986,14.45116262,13.1086535,0.871382484,1,1,1,1,1,1,0.979387755,40.0587105,-88.2298385,2019,ILH1
TX714/TX779,TXH1-Early_2018,Y,11,767.805992,0,2,235,85,74.5,74.5,2.442333295,0.87833333,4.91741256,2.91095925,1.112321411,5.987347663,3.094033648,2.445309502,2.573656677,73.26999886,5.269999981,55.2178573,113.3721426,4.449285643,64.36357035,86.72785865,13.67714274,77.357857,13.4988633,14.49154552,13.92485348,19.6618496,19.390827,19.64184359,19.38410293,21.21373351,18.01258323,19.68933331,26.95833333,25.66614373,26.56996845,30.24238085,29.14372996,31.91805433,33.2644762,34.51160554,6.357666679,15.03999996,15.13755815,13.69055459,18.24071415,16.44843436,20.63070323,20.50154739,23.97494014,7.613570572,13.40715604,12.87528071,12.79536137,16.34410207,15.0664779,18.21233438,18.75919739,20.40606275,0.821476194,1,0.991620595,0.99408643,1,1,1,0.999013392,30.546318,-96.4329965,2018,TXH1-Early
B37/OH43,WIH2_2019,N,34.85,614.9527455,0,0,257.0833333,117.0833333,68.5,67.5,5.084687524,1.186666648,3.682690384,5.868440751,0.695238091,4.73009737,4.315774648,4.395502279,4.547947068,162.7100008,7.119999886,58.08928529,183.8007161,1.222857135,55.05428533,207.5435701,59.53000056,136.8792876,20.51840827,23.10255337,19.84622659,19.54978709,22.13574316,19.04821964,14.90817086,12.98397937,9.337872891,18.93468753,26.85500018,22.80729416,28.92841129,27.86750015,27.53142967,23.33864799,22.30785619,12.19546616,7.173437506,12.79833317,11.75963315,17.3057567,14.67845241,15.42498763,12.56161555,11.34993986,2.687473085,7.568173943,12.44054354,10.32084191,15.24419851,13.63574066,13.78240318,10.8770868,10.55092288,4.713570865,0.808549105,1,0.995612408,1,1,0.966295589,0.875965566,0.450550638,43.320768,-89.33189475,2019,WIH2
B73/MO17,TXH2_2019,N,10.48,772.2274733,0,0,214.5,66.5,70.5,69.5,1.71448275,0.072857141,3.656594302,9.095434564,0.409285716,1.207678571,5.355850783,1.246142852,1.574419343,49.71999974,0.50999999,52.00785631,328.2121388,0.592857139,9.661428571,146.4478573,6.531428533,47.51499965,15.42805705,20.52131135,18.76898834,18.57032559,21.42349659,18.85281525,20.14881361,21.03072751,19.84089234,18.45000007,25.76428577,24.43254944,27.27586732,31.09000002,32.37866099,32.72435205,34.04471448,34.98200776,6.826206914,10.35000004,10.67963154,14.78766739,18.65857179,21.85071427,21.02442735,21.79614282,22.6049739,7.457816468,11.1589152,10.85119479,13.46630403,16.91193677,19.11412105,18.84765314,19.77807102,20.01419559,0.749667494,1,0.945308164,1,1,1,1,0.999698925,30.546318,-96.4329965,2019,TXH2
CG119/CG108,NYH1_2017,Y,17.7,731.1212129,0,2,229,110,65,64,4.758709581,4.139999986,2.953024942,5.715506232,4.320872878,2.701732063,2.616328443,1.022630585,3.614268439,147.519997,37.25999987,45.12618999,219.9223815,11.26857107,35.6957141,128.4247627,13.30476207,110.8900009,18.97444351,17.81005277,22.0763727,19.38397475,18.56141379,19.22534974,16.71382568,13.43506643,9.037548332,17.06967752,20.23333359,22.7745171,25.66488699,26.70396817,25.32691524,23.26007272,23.96840526,17.61119819,5.964193534,10.19,10.93717632,15.20362294,16.36293638,14.60656728,11.31793404,11.56685323,6.669544781,6.641127344,8.727253675,10.15270493,12.79474615,13.71935226,12.37567782,10.45035179,10.9124923,7.239151369,0.685760371,1,1,1,1,0.982493678,0.953634339,0.701363064,42.72880835,-76.6515625,2017,NYH1
LH195/PHZ51,OHH1_2016,N,18.05,744.6366578,0,46,274,137,65,64,4.328064465,1.776000023,3.915145208,2.580740659,3.890757626,4.17049496,5.079069289,3.957741935,3.614594814,134.1699984,8.880000114,44.70363614,85.9177286,9.330454675,39.94818193,160.1854537,27.69772666,110.1186362,18.3437644,22.24283047,20.73146956,20.35982518,19.15233416,18.82824642,16.72048491,17.98730955,14.71797893,19.63580645,29.63200035,26.56953589,28.59263588,29.59106055,30.69283836,29.21689182,28.27188687,26.30588322,8.120967747,16.89599972,14.9739129,16.70528562,18.30318191,19.74443426,18.9160149,15.44500838,13.40262461,8.117657052,15.32722009,13.17028057,14.81678154,15.96857054,17.23303236,16.11713161,14.21502474,12.5845871,0.859331788,1,1,1,1,1,0.999172078,0.989049277,39.860924,-83.6755995,2016,OHH1
LH82/PHB47,IAH2_2017,N,14.6,744.3148615,0.25,17.75,180.75,81.5,65,64,2.991935476,4.003749907,5.594154361,1.824159742,2.965909053,1.138616173,3.544395797,5.525860929,3.224964342,92.74999976,32.02999926,86.83999968,64.74363607,5.880909015,11.03545466,133.6850016,39.36636487,98.02272796,18.91811151,22.03083944,18.39067038,21.91300981,21.59707026,21.00058551,18.76246256,16.50136756,14.56336975,16.70258062,25.25375009,21.16444029,28.78792803,31.34295403,31.03890899,27.79230679,26.54138994,25.01808603,3.836129038,9.060000002,9.836484062,14.72352594,17.1804546,18.00485339,15.61890002,13.9478747,12.25710857,5.884356407,10.52058178,9.325556586,14.19611432,16.29393371,16.57150033,14.05801276,12.73803514,11.57992501,0.659274195,1,0.882113053,1,1,1,1,0.976890029,42.06582876,-94.72050129,2017,IAH2
PHW52/PHM49,NEH2_2015,N,14.55,759.439288,0,1.5,229,110,95.5,94,1.358750008,3.755999994,3.031264216,1.286090902,0.286666671,1.657187527,3.751759362,0.157499999,0.616713691,43.48000026,37.55999994,66.29000026,43.49999976,0.860000014,16.57187527,117.6431233,0.944999993,18.99062441,19.53783247,19.98656282,18.8528682,23.65152674,23.21232343,22.7312118,19.62767813,21.61948185,18.20728239,15.03874992,23.15200024,18.66927583,30.14561768,32.37510385,32.60862507,30.36489819,32.31320816,28.31448706,-2.426562488,5.230999994,5.264051067,13.5723423,16.5714581,16.13087479,15.9646131,15.56819047,11.19634675,4.192485347,8.478296732,6.894904354,14.37610508,16.560328,16.47008009,15.3434088,16.05261291,12.83173005,0.519497764,0.97653572,0.809891265,1,1,1,1,0.922021698,41.0514495,-100.7471915,2015,NEH2
